125,2689302528000,4793147,3697238,17000
156,2689810432000,5127579,4093722,6000
192,2739978240000,5382593,4386763,6000
206,2740371456000,5732231,4812771,6000
235,2640166912000,5765905,5033807,6000
267,2637475840000,5917985,5357460,5000
289,2649407488000,6030197,5638905,6000
309,2651041792000,6192426,5980130,5000
337,2651295744000,6216560,6171300,6000
359,2650542080000,6388479,6532483,6000
400,2650664960000,6494582,6829649,6000
424,2650877952000,6624771,7153759,5000
423,2701119488000,6618109,7236798,6000
434,2650021888000,6618358,7218980,6000
436,2749173760000,6545489,7148032,5000
428,2648510464000,6616595,7208252,6000
422,2648797184000,6559210,7133907,5000
418,2649153536000,6578696,7118724,6000
417,2649116672000,6613742,7141065,6000
421,2646896640000,6561226,7113551,6000
419,2747748352000,6611949,7195225,5000
427,2697674752000,6630627,7193895,5000
426,2747691008000,6530136,7059625,6000
424,2645307392000,6536702,7067782,6000
411,2645045248000,6503598,7032843,5000
422,2642788352000,6550820,7085238,6000
408,2692251648000,6582025,7065510,5000
415,2640486400000,6494159,6994565,5000
420,2689896448000,6572123,7069549,6000
412,2639548416000,6593595,7090661,5000
413,2688532480000,6509597,7041879,6000
424,2688716800000,6563702,7107763,7000
424,2638393344000,6613430,7190184,6000
428,2637778944000,6576807,7163759,6000
437,2637672448000,6645408,7234409,6000
439,2658209792000,6566524,7145800,4000
438,2637189120000,6572206,7169857,1000
433,2637348864000,6588906,7203407,6000
427,2637348864000,6515268,7111781,5000
431,2637348864000,6497868,7092820,2000
453,3567656960000,7111706,7453636,4000
478,5329264640000,7938559,7634755,5000
475,6706352128000,8981582,7878882,6000
489,6706290688000,10612231,8355125,6000
485,6706806784000,12158293,8770914,5000
500,6707363840000,13575437,9211704,7000
501,6757634048000,14774222,9386820,6000
512,6707625984000,16443754,9879056,6000
511,6776602624000,17806123,10259278,6000
512,6756200448000,19230127,10571127,5000
511,6756720640000,20616418,10898576,5000
512,6706507776000,21975157,11247412,6000
510,6807523328000,23500118,11703813,6000
514,6706532352000,24815398,11961696,5000
517,6706483200000,26093815,12378316,6000
497,6707204096000,26986967,12614904,6000
509,6705471488000,27504529,12817426,5000
503,6755700736000,27713770,12908718,6000
504,6705577984000,27458817,12786922,6000
511,6722617344000,27588014,12838031,6000
506,6705860608000,27518633,12807368,5000
500,6708064256000,27559293,12788646,6000
491,6712541184000,27562816,12760929,6000
487,6712705024000,27535000,12808541,6000
491,6762905600000,27283988,12703201,5000
495,6738141184000,27427460,12690389,5000
505,6713044992000,27389344,12707129,6000
501,6712938496000,27485181,12789759,5000
511,6763724800000,27388682,12645887,6000
507,6711750656000,27572203,12684248,6000
502,6712279040000,27461370,12682253,5000
501,6762479616000,27362621,12640065,6000
498,6762500096000,27378207,12660777,6000
503,6762823680000,27513667,12743982,5000
497,6712688640000,27446478,12645991,6000
504,6709444608000,27280133,12637196,6000
501,6759694336000,27435864,12717560,5000
505,6709612544000,27482965,12699857,6000
508,6709653504000,27116930,12574947,5000
504,6759698432000,27256987,12577814,6000
512,6709755904000,27460942,12791514,7000
508,6810443776000,27641056,12817026,5000
505,6709903360000,27425824,12715013,5000
499,6760591360000,27314979,12626994,4000
497,6760751104000,27460557,12692930,6000
499,6703738880000,27511157,12730691,5000
491,6703448064000,27591991,12686144,6000
507,6698999808000,27412916,12620894,6000
516,6693789696000,27389622,12638590,6000
507,6741049344000,27188362,12526202,5000
517,6687518720000,27291339,12588504,6000
517,6687600640000,27624954,12752213,6000
521,6685720576000,27601280,12733803,6000
515,6685728768000,27390377,12681654,6000
513,6677053440000,27395198,12629017,5000
519,6668152832000,27392955,12657319,5000
517,6722969600000,27376060,12568726,5000
512,6672793600000,27592420,12704640,5000
509,6671437824000,27476458,12681093,5000
524,6721163264000,27395105,12618811,6000
524,6666416128000,27519960,12748773,7000
512,6663942144000,27382315,12615940,5000
508,6711607296000,27512647,12712557,6000
514,6648995840000,27524028,12744322,6000
503,6685556736000,27090686,12486499,5000
507,6636867584000,27539022,12726662,6000
508,6539120640000,27355366,12582984,6000
499,6583554048000,27361989,12593878,5000
498,6530379776000,27323419,12550024,6000
490,6568820736000,27538602,12627451,5000
505,6489145344000,27305154,12569731,5000
507,6472130560000,27405985,12632685,5000
505,6471774208000,27348801,12586944,6000
505,6472007680000,27292009,12529609,6000
505,6522437632000,27159806,12487541,5000
499,6522511360000,27558960,12702589,6000
506,6472470528000,27376200,12450329,6000
492,6472212480000,27345315,12492967,5000
499,6472065024000,27036850,12352983,6000
504,6467321856000,27457126,12588005,6000
508,6514757632000,27296764,12562227,6000
507,6462435328000,27079817,12490522,5000
500,6473666560000,27199450,12498967,6000
508,6449864704000,27328633,12615708,6000
509,6500151296000,27149453,12474741,6000
509,6500446208000,27157414,12528048,5000
507,6435405824000,27304148,12562198,5000
507,6432268288000,27427727,12617833,5000
507,6458720256000,27420012,12637687,5000
521,6404653056000,27123004,12386177,6000
509,6404620288000,27415449,12609461,5000
517,6448160768000,27247462,12518164,6000
520,6447685632000,27321244,12559757,6000
521,6397378560000,27321361,12539000,6000
516,6389141504000,27522347,12607989,5000
515,6388678656000,27231183,12392631,5000
521,6380077056000,27201367,12407442,6000
517,6368391168000,27474350,12510583,5000
518,6363435008000,27374715,12487349,6000
523,6390157312000,27073796,12349911,6000
